lga,ward,population
arusha,bangata,9137.0
arusha,bwawani,11118.0
arusha,ilkidinga,10850.0
arusha,kimnyaki,3488.0
arusha,kiranyi,25468.0
arusha,kisongo,8768.0
arusha,mateves,15632.0
arusha,mlangarini,12986.0
arusha,moivo,27156.0
arusha,mussa,11835.0
arusha,mwandeti,17386.0
arusha,nduruma,12042.0
arusha,oldonyosambu,16484.0
arusha,oljoro,7898.0
arusha,olkokola,24736.0
arusha,olmotonyi,18562.0
arusha,olorieni,22426.0
arusha,oltoroto,15450.0
arusha,oltrumet,10224.0
arusha,sambasha,9484.0
arusha,sokon ii,32070.0
arusha mjini,baraa,12500.0
arusha mjini,daraja ,19488.0
arusha mjini,elerai,40749.0
arusha mjini,engutoto,7426.0
arusha mjini,kaloleni,9592.0
arusha mjini,kati,3114.0
arusha mjini,kimandolu,27650.0
arusha mjini,lemara,19563.0
arusha mjini,levolos,8838.0
arusha mjini,moshono,20692.0
arusha mjini,ngarenaro,12383.0
arusha mjini,olasiti,36361.0
arusha mjini,oloirien,18679.0
arusha mjini,sekei,9212.0
arusha mjini,sokon i,73324.0
arusha mjini,sombetini,48270.0
arusha mjini,terrat,21792.0
arusha mjini,themi,9459.0
arusha mjini,unga ltd,17342.0
babati,arri,14146.0
babati,ayasanda,6182.0
babati,babati,16717.0
babati,bagara,28920.0
babati,baoy,6564.0
babati,bashnet,13368.0
babati,bonga,9604.0
babati,dabil,16784.0
babati,dareda,22878.0
babati,duru,11525.0
babati,endakiso,9244.0
babati,gallapo,19577.0
babati,gidas,7393.0
babati,kiru,13119.0
babati,madunga,21094.0
babati,magara,15334.0
babati,magugu,32773.0
babati,maisaka,8831.0
babati,mamire,9016.0
babati,mutuka,4910.0
babati,mwada,16138.0
babati,nangara,7468.0
babati,nar,11188.0
babati,nkaiti,14152.0
babati,qash,19553.0
babati,riroda,12177.0
babati,sigino,10038.0
babati,singe,6620.0
babati,ufana,20190.0
bagamoyo,bwilingu,35146.0
bagamoyo,dunda,14559.0
bagamoyo,fukayosi,9128.0
bagamoyo,kerege,18008.0
bagamoyo,kibindu,13673.0
bagamoyo,kimange,8534.0
bagamoyo,kiromo,7280.0
bagamoyo,kiwangwa,14585.0
bagamoyo,lugoba,11424.0
bagamoyo,magomeni,29230.0
bagamoyo,mandera,9367.0
bagamoyo,mbwewe,14508.0
bagamoyo,miono,17007.0
bagamoyo,mkange,12024.0
bagamoyo,msata,13738.0
bagamoyo,msoga,10144.0
bagamoyo,pera,12699.0
bagamoyo,talawanda,9228.0
bagamoyo,ubenazomozi,15348.0
bagamoyo,vigwaza,16649.0
bagamoyo,yombo,8261.0
bagamoyo,zinga,11186.0
bahi,babayu,10126.0
bahi,bahi,18299.0
bahi,chali,11300.0
bahi,chibelela,10032.0
bahi,chikola,13666.0
bahi,chipanga,9656.0
bahi,ibihwa,11060.0
bahi,ibugule,8048.0
bahi,ilindi,9440.0
bahi,kigwe,15560.0
bahi,lamaiti,12268.0
bahi,makanda,7896.0
bahi,mpalanga,10224.0
bahi,mpamantwa,12984.0
bahi,msisi,11848.0
bahi,mtitaa,8604.0
bahi,mundemu,8148.0
bahi,mwitikira,7234.0
bahi,nondwa,15368.0
bahi,zanka,9887.0
bariadi,bariadi,11250.0
bariadi,bunamhala,28308.0
bariadi,dutwa,15793.0
bariadi,gambosi,15050.0
bariadi,gilya,16118.0
bariadi,guduwi,10550.0
bariadi,ikungulyabashashi,10154.0
bariadi,isanga,11350.0
bariadi,kasoli,14445.0
bariadi,kilalo,9952.0
bariadi,malambo,10490.0
bariadi,matongo,26264.0
bariadi,mhango,11252.0
bariadi,mwadobana,25782.0
bariadi,mwaubingi,15778.0
bariadi,mwaumatondo,25748.0
bariadi,ngulyati,11461.0
bariadi,nkindwabiye,13948.0
bariadi,nkololo,21768.0
bariadi,nyakabindi,19721.0
bariadi,nyangokolwa,22551.0
bariadi,sakwe,25666.0
bariadi,sapiwi,19356.0
bariadi,sima,13552.0
bariadi,somanda,16590.0
biharamulo,biharamulo mjini,24574.0
biharamulo,bisibo,14694.0
biharamulo,kabindi,25310.0
biharamulo,kalenge,34148.0
biharamulo,kaniha,19526.0
biharamulo,lusahunga,37228.0
biharamulo,nemba,20188.0
biharamulo,nyabusozi,23988.0
biharamulo,nyakahura,26119.0
biharamulo,nyamahanga,10761.0
biharamulo,nyamigogo,15578.0
biharamulo,nyantakara,16372.0
biharamulo,nyarubungo,28428.0
biharamulo,runazi,14470.0
biharamulo,ruziba,12092.0
buhigwe,biharu,8880.0
buhigwe,buhigwe,15220.0
buhigwe,janda,28864.0
buhigwe,kajana,13380.0
buhigwe,kibande,9852.0
buhigwe,kilelema,15520.0
buhigwe,mugera,15700.0
buhigwe,muhinda,18210.0
buhigwe,munanila,33784.0
buhigwe,munyegera,13446.0
buhigwe,munzeze,18930.0
buhigwe,muyama,10436.0
buhigwe,mwayaya,20420.0
buhigwe,nyamugali,10703.0
buhigwe,rusaba,20990.0
bukoba,bakoba,17471.0
bukoba,bilele,5406.0
bukoba,buhembe,4042.0
bukoba,buhendangabo,7724.0
bukoba,bujugo,7139.0
bukoba,butelankuzi,9864.0
bukoba,butulage,10048.0
