lga,population
arusha,3882.0
arusha mjini,2570.0
babati,2696.0
bagamoyo,2116.0
bahi,3779.0
bariadi,3328.0
biharamulo,3636.0
buhigwe,6785.0
bukoba,2478.0
bukombe,2493.0
bunda,2436.0
busega,3176.0
butiama,3044.0
chakechake,896.0
chamwino,3888.0
chato,3078.0
chemba,2076.0
chunya,2924.0
dodoma mjini,2618.0
gairo,4160.0
geita,3472.0
hai,2788.0
hanang,3684.0
handeni,2001.0
igunga,3406.0
ikungi,2556.0
ilala,8400.0
ileje,1481.0
ilemela,3000.0
iramba,2887.0
iringa,1145.0
itilima,2808.0
kahama,2396.0
kakonko,5090.0
kalambo,1990.0
kaliua,4306.0
karagwe,3555.0
karatu,4157.0
kaskazini a,498.0
kaskazini b,870.0
kasulu,7196.0
kati,682.5
kibaha,1070.0
kibondo,5617.0
kigoma,3459.0
kilindi,2082.0
kilolo,1949.5
kilombero,3953.0
kilosa,2347.0
kilwa,1663.0
kinondoni,9060.0
kisarawe,950.0
kishapu,1988.0
kiteto,3470.0
kondoa,2384.0
kongwa,3220.0
korogwe,1845.0
kusini,437.0
kwimba,2920.0
kyela,1570.0
kyerwa,3244.0
lindi,940.0
liwale,1133.5
longido,3240.0
ludewa,1486.0
lushoto,1682.0
mafia,1632.5
mafinga,3681.0
magharibi,1502.5
magu,3428.0
makambako,2006.0
makete,814.5
manyoni,2713.0
masasi,1346.5
maswa,2822.0
mbarali,1073.5
mbeya,1592.0
mbinga,1781.0
mbogwe,1839.0
mbozi,2454.0
mbulu,2209.0
meatu,2804.0
meru,3374.0
micheweni,920.0
missenyi,1992.0
misungwi,3500.0
mjini,1081.0
mkalama,3036.0
mkinga,1184.0
mkoani,744.0
mkuranga,1387.5
mlele,2110.0
momba,2414.0
monduli,2925.0
morogoro,1076.5
moshi,2436.0
mpanda,3256.0
mpwapwa,3078.0
mtwara,1277.0
mufindi,1870.0
muheza,1315.0
muleba,3137.0
musoma,2654.0
mvomero,2501.0
mwanga,1626.0
nachingwea,1408.5
namtumbo,3042.0
nanyumbu,1523.0
newala,1124.0
ngara,3646.0
ngorongoro,4178.0
njombe,1731.0
njombe ,1727.0
nkasi,1175.0
nyamagana,2883.0
nyanghwale,2344.0
nyasa,1795.0
nzega,2500.0
pangani,1355.0
rombo,3190.0
rorya,3180.0
ruangwa,1304.0
rufiji,1536.0
rungwe,1322.0
same,2351.0
sengerema,3439.0
serengeti,2648.0
shinyanga,2540.0
siha,2588.0
sikonge,2347.0
simanjiro,2362.0
singida,2533.0
songea,2290.0
sumbawanga,1444.0
tabora,1018.0
tandahimba,1353.0
tanga,1197.0
tarime,2854.0
temeke,6291.0
tunduma,1644.5
tunduru,1934.5
ukerewe,3677.0
ulanga,3130.0
urambo,2694.0
uvinza,7504.0
uyui,2953.0
wangingombe,1450.5
wete,931.0
