, Population Distribution by Village/Mtaa; 2012 PHC,,,,,,,,,
Region,District,Ward/Shehia,"
    Village/Mtaa",Total Population,,,,,,
Dodoma,Kondoa,Bumbuta,Bumbuta," 3,107 ",,,,,,
Dodoma,Kondoa,Bumbuta,Mahongo," 1,222 ",,,,,,
Dodoma,Kondoa,Bumbuta,Mauno," 4,273 ",,,,,,
Dodoma,Kondoa,Pahi,Pahi," 6,226 ",,,,,,
Dodoma,Kondoa,Pahi,Potea," 2,396 ",,,,,,
Dodoma,Kondoa,Pahi,Salare," 1,585 ",,,,,,
Dodoma,Kondoa,Pahi,Kiteo," 3,737 ",,,,,,
Dodoma,Kondoa,Busi,Busi," 3,042 ",,,,,,
Dodoma,Kondoa,Busi,Sambwa," 3,605 ",,,,,,
Dodoma,Kondoa,Busi,Keikei," 4,446 ",,,,,,
Dodoma,Kondoa,Busi,Idindiri," 2,890 ",,,,,,
Dodoma,Kondoa,Busi,Ihari," 2,575 ",,,,,,
Dodoma,Kondoa,Busi,Isusumya," 2,166 ",,,,,,
Dodoma,Kondoa,Haubi,Haubi," 6,386 ",,,,,,
Dodoma,Kondoa,Haubi,Ntomoko," 4,568 ",,,,,,
Dodoma,Kondoa,Haubi,Mafai," 2,803 ",,,,,,
Dodoma,Kondoa,Kalamba Ward,Baura," 1,481 ",,,,,,
Dodoma,Kondoa,Kalamba Ward,Kalamba chini," 2,652 ",,,,,,
Dodoma,Kondoa,Kalamba Ward,Hebi Chini," 2,715 ",,,,,,
Dodoma,Kondoa,Kalamba Ward,Loo," 3,329 ",,,,,,
Dodoma,Kondoa,Kalamba Ward,Hebi Juu," 1,087 ",,,,,,
Dodoma,Kondoa,Kalamba Ward,Kalamba Juu," 2,724 ",,,,,,
Dodoma,Kondoa,Kwadelo Ward,Kwadelo," 5,739 ",,,,,,
Dodoma,Kondoa,Kwadelo Ward,Kirere cha Ng'ombe," 1,156 ",,,,,,
Dodoma,Kondoa,Kwadelo Ward,Makirinya," 4,698 ",,,,,,
Dodoma,Kondoa,Masange,Masange," 3,690 ",,,,,,
Dodoma,Kondoa,Masange,Kwayondu," 1,698 ",,,,,,
Dodoma,Kondoa,Masange,Kikilo Kati," 2,680 ",,,,,,
Dodoma,Kondoa,Kikilo,Kikilo Ororimo," 1,813 ",,,,,,
Dodoma,Kondoa,Kikilo,Kwahengwa," 1,758 ",,,,,,
Dodoma,Kondoa,Kikilo,Berabera," 3,067 ",,,,,,
Dodoma,Kondoa,Bereko,Puhi," 2,381 ",,,,,,
Dodoma,Kondoa,Bereko,Bereko," 4,845 ",,,,,,
Dodoma,Kondoa,Kisese,Mapinduzi," 1,427 ",,,,,,
Dodoma,Kondoa,Kisese,Kisese sauna," 2,743 ",,,,,,
Dodoma,Kondoa,Kisese,Madisa," 2,477 ",,,,,,
Dodoma,Kondoa,Kisese,Kisese Dissa," 3,155 ",,,,,,
Dodoma,Kondoa,Kisese,Atta," 3,187 ",,,,,,
Dodoma,Kondoa,Kikore,Kikore," 2,641 ",,,,,,
Dodoma,Kondoa,Kikore,Madege, 795 ,,,,,,
Dodoma,Kondoa,Kikore,Hurui," 3,697 ",,,,,,
Dodoma,Kondoa,Kikore,Mitati," 4,948 ",,,,,,
Dodoma,Kondoa,Kikore,Mkurumuzi, 963 ,,,,,,
Dodoma,Kondoa,Serya,Mongoroma," 2,387 ",,,,,,
Dodoma,Kondoa,Serya,Chadimu, 550 ,,,,,,
Dodoma,Kondoa,Serya,Munguri," 1,233 ",,,,,,
Dodoma,Kondoa,Serya,Serya," 1,884 ",,,,,,
Dodoma,Kondoa,Kilimani,Kwantisi," 2,150 ",,,,,,
Dodoma,Kondoa,Kilimani,Bicha," 1,789 ",,,,,,
Dodoma,Kondoa,Kilimani,Kilimani," 2,402 ",,,,,,
Dodoma,Kondoa,Kilimani,Damai, 896 ,,,,,,
Dodoma,Kondoa,Chemchem,Kwapakacha, 998 ,,,,,,
Dodoma,Kondoa,Chemchem,Ubembeni," 3,345 ",,,,,,
Dodoma,Kondoa,Chemchem,Iboni," 1,827 ",,,,,,
Dodoma,Kondoa,Chemchem,Chemchem," 1,744 ",,,,,,
Dodoma,Kondoa,Hondomairo,Mwembeni," 2,612 ",,,,,,
Dodoma,Kondoa,Hondomairo,Hondomairo," 2,361 ",,,,,,
Dodoma,Kondoa,Hondomairo,Mtibyangwi," 3,141 ",,,,,,
Dodoma,Kondoa,Bolisa,Itiso," 1,168 ",,,,,,
Dodoma,Kondoa,Bolisa,Bolisa," 1,421 ",,,,,,
Dodoma,Kondoa,Bolisa,Poisa," 1,055 ",,,,,,
Dodoma,Kondoa,Kinyasi,Kinyasi Majengo," 2,231 ",,,,,,
Dodoma,Kondoa,Kinyasi,Kinyasi Kati," 3,923 ",,,,,,
Dodoma,Kondoa,Kinyasi,Ikengwa," 1,934 ",,,,,,
Dodoma,Kondoa,Kinyasi,Isongolo, 728 ,,,,,,
Dodoma,Kondoa,Salanka,Makafa," 1,819 ",,,,,,
Dodoma,Kondoa,Salanka,Lembo," 1,029 ",,,,,,
Dodoma,Kondoa,Salanka,Salanka," 2,732 ",,,,,,
Dodoma,Kondoa,Salanka,Masawi," 1,972 ",,,,,,
Dodoma,Kondoa,Salanka,Alagawa," 1,080 ",,,,,,
Dodoma,Kondoa,Itololo,Mangolo," 1,749 ",,,,,,
Dodoma,Kondoa,Itololo,Kandaga," 1,703 ",,,,,,
Dodoma,Kondoa,Itololo,Itololo," 1,097 ",,,,,,
Dodoma,Kondoa,Itololo,Mkekena," 1,734 ",,,,,,
Dodoma,Kondoa,Itololo,Machinjioni, 913 ,,,,,,
Dodoma,Kondoa,Itaswi,Itaswi," 3,719 ",,,,,,
Dodoma,Kondoa,Itaswi,Haire," 2,064 ",,,,,,
Dodoma,Kondoa,Itaswi,Kisaki," 1,308 ",,,,,,
Dodoma,Kondoa,Itaswi,Chubi," 2,683 ",,,,,,
Dodoma,Kondoa,Suruke,Mlua," 2,399 ",,,,,,
Dodoma,Kondoa,Suruke,Tungufu," 1,146 ",,,,,,
Dodoma,Kondoa,Kingale,Kingale," 4,254 ",,,,,,
Dodoma,Kondoa,Kingale,Tampori," 1,372 ",,,,,,
Dodoma,Kondoa,Kingale,Iyoli," 3,142 ",,,,,,
Dodoma,Kondoa,Kingale,Chemchem," 2,235 ",,,,,,
Dodoma,Kondoa,Kondoa Mjini,Chemchem," 3,963 ",,,,,,
Dodoma,Kondoa,Kondoa Mjini,Mningani," 3,892 ",,,,,,
Dodoma,Kondoa,Kondoa Mjini,Kichangani," 1,580 ",,,,,,
Dodoma,Kondoa,Kondoa Mjini,Tura," 1,339 ",,,,,,
Dodoma,Kondoa,Kondoa Mjini,Mnarani," 3,608 ",,,,,,
Dodoma,Kondoa,Kolo,Kolo," 2,470 ",,,,,,
Dodoma,Kondoa,Kolo,Choka," 1,284 ",,,,,,
Dodoma,Kondoa,Kolo,Hachwi," 1,489 ",,,,,,
Dodoma,Kondoa,Changaa,Kwamafunchi," 1,731 ",,,,,,
Dodoma,Kondoa,Changaa,Changaa," 3,514 ",,,,,,
Dodoma,Kondoa,Changaa,Tumbelo," 2,647 ",,,,,,
Dodoma,Kondoa,Changaa,Chololo," 1,742 ",,,,,,
Dodoma,Kondoa,Thawi,Sakami," 4,768 ",,,,,,
Dodoma,Kondoa,Thawi,Thawi Madukani," 4,588 ",,,,,,
Dodoma,Kondoa,Thawi,Thawi Juu," 1,443 ",,,,,,
Dodoma,Kondoa,Mnenia,Mnenia," 3,343 ",,,,,,
Dodoma,Kondoa,Mnenia,Itundwi," 3,348 ",,,,,,
Dodoma,Kondoa,Mnenia,Filimo," 1,589 ",,,,,,
Dodoma,Kondoa,Mnenia,Bambare," 3,248 ",,,,,,
Dodoma,Kondoa,Soera,Soera," 1,556 ",,,,,,
Dodoma,Kondoa,Soera,Bukulu," 3,679 ",,,,,,
Dodoma,Kondoa,Soera,Humai," 1,157 ",,,,,,
Dodoma,Kondoa,Soera,Kwadinu," 1,224 ",,,,,,
Dodoma,Mpwapwa,Mazae,Mazae," 2,804 ",,,,,,
Dodoma,Mpwapwa,Mazae,Kisokwe," 3,531 ",,,,,,
Dodoma,Mpwapwa,Mazae,Idilo," 1,686 ",,,,,,
Dodoma,Mpwapwa,Ving'hawe,Ving'hawe," 6,380 ",,,,,,
Dodoma,Mpwapwa,Ving'hawe,Manghangu," 2,181 ",,,,,,
Dodoma,Mpwapwa,Ving'hawe,Isinghu," 3,716 ",,,,,,
Dodoma,Mpwapwa,Matomondo,Mbori," 4,224 ",,,,,,
Dodoma,Mpwapwa,Matomondo,Tambi," 4,786 ",,,,,,
Dodoma,Mpwapwa,Matomondo,Miembule," 4,206 ",,,,,,
Dodoma,Mpwapwa,Matomondo,Mwenzere," 3,915 ",,,,,,
Dodoma,Mpwapwa,Kimagai,Inzomvu," 3,873 ",,,,,,
Dodoma,Mpwapwa,Kimagai,Kimagai," 3,467 ",,,,,,
Dodoma,Mpwapwa,Kibakwe,Iyenge," 6,574 ",,,,,,
Dodoma,Mpwapwa,Kibakwe,Kibakwe," 7,053 ",,,,,,
Dodoma,Mpwapwa,Kibakwe,Chamtumile," 3,078 ",,,,,,
Dodoma,Mpwapwa,Lumuma,Lufusi, 925 ,,,,,,
Dodoma,Mpwapwa,Lumuma,Kitati, 982 ,,,,,,
Dodoma,Mpwapwa,Lumuma,Mafene," 1,876 ",,,,,,
Dodoma,Mpwapwa,Luhundwa,Ikuyu," 4,816 ",,,,,,
Dodoma,Mpwapwa,Luhundwa,Luhundwa," 3,391 ",,,,,,
Dodoma,Mpwapwa,Luhundwa,Kidenge," 3,954 ",,,,,,
Dodoma,Mpwapwa,Massa,Makose," 3,452 ",,,,,,
Dodoma,Mpwapwa,Massa,Chogola," 3,775 ",,,,,,
Dodoma,Mpwapwa,Massa,Winza," 4,515 ",,,,,,
Dodoma,Mpwapwa,Massa,Njia panda, 819 ,,,,,,
Dodoma,Mpwapwa,Ipera,Kinusi," 4,857 ",,,,,,
Dodoma,Mpwapwa,Ipera,Mang'aliza," 5,176 ",,,,,,
Dodoma,Mpwapwa,Ipera,Kikuyu," 2,837 ",,,,,,
Dodoma,Mpwapwa,Rudi,Chilendu," 4,553 ",,,,,,
Dodoma,Mpwapwa,Rudi,Singonhali," 1,879 ",,,,,,
Dodoma,Mpwapwa,Rudi,Mtamba," 3,597 ",,,,,,
Dodoma,Mpwapwa,Mlunduzi,Chinyika," 4,715 ",,,,,,
Dodoma,Mpwapwa,Mlunduzi,Chinyanghuku," 2,833 ",,,,,,
Dodoma,Mpwapwa,Mlunduzi,Wiyenzele," 2,120 ",,,,,,
Dodoma,Mpwapwa,Wotta,Mlunga," 2,515 ",,,,,,
Dodoma,Mpwapwa,Wotta,Mwanawotta," 4,035 ",,,,,,
Dodoma,Mpwapwa,Wotta,Lwihomelo," 2,532 ",,,,,,
Dodoma,Mpwapwa,Wotta,Wangi," 2,930 ",,,,,,
Dodoma,Mpwapwa,Wotta,Kidabaga," 1,328 ",,,,,,
Dodoma,Mpwapwa,Mima,Mima," 4,827 ",,,,,,
Dodoma,Mpwapwa,Mima,Sazima," 3,702 ",,,,,,
Dodoma,Mpwapwa,Mima,Igoji," 3,413 ",,,,,,
Dodoma,Mpwapwa,Mima,Chamanda," 2,493 ",,,,,,
Dodoma,Mpwapwa,Berege,Berege," 5,746 ",,,,,,
Dodoma,Mpwapwa,Berege,Mzase," 2,874 ",,,,,,
Dodoma,Mpwapwa,Berege,Mkanana," 2,311 ",,,,,,
Dodoma,Mpwapwa,Chunyu,Chunyu," 3,905 ",,,,,,
Dodoma,Mpwapwa,Chunyu,Msagali," 7,688 ",,,,,,
Dodoma,Mpwapwa,Mbuga,Kizi," 1,147 ",,,,,,
Dodoma,Mpwapwa,Mbuga,Mbuga," 3,319 ",,,,,,
Dodoma,Mpwapwa,Mbuga,Iguluwi," 1,347 ",,,,,,
Dodoma,Mpwapwa,Godegode,Godegode," 3,202 ",,,,,,
Dodoma,Mpwapwa,Godegode,Kisisi," 1,754 ",,,,,,
Dodoma,Mpwapwa,Godegode,Mgoma," 1,610 ",,,,,,
Dodoma,Mpwapwa,Godegode,Mzogole," 1,318 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Ilolo," 3,647 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Kiboriani," 2,235 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Mpwapwa Mjini," 6,028 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Igovu," 6,369 ",,,,,,
Dodoma,Mpwapwa,Mpwapwa Mjini,Mwanakianga," 3,058 ",,,,,,
Dodoma,Mpwapwa,Lupeta,Lupeta," 3,764 ",,,,,,
Dodoma,Mpwapwa,Lupeta,Bumila," 2,682 ",,,,,,
Dodoma,Mpwapwa,Lupeta,Makutupa," 2,031 ",,,,,,
Dodoma,Mpwapwa,Gulwe,Iyoma," 2,563 ",,,,,,
Dodoma,Mpwapwa,Gulwe,Gulwe," 4,979 ",,,,,,
